categorie,nom,zone,type_relation,site_web,linkedin_handle,raison_cible,premier_contact_suggere,verification
Institution CCI,CCI Guyane,Guyane,Prescripteur institutionnel,https://www.guyane.cci.fr/,cci-guyane,"Accès direct aux dirigeants PME, organisation d'ateliers digitalisation, annuaire entreprises","Proposer un atelier gratuit 'Digitaliser sa PME ultramarine en 90 jours' — 15 dirigeants/session",Vérifié (site officiel public)
Institution CCI,CCI Île de la Martinique,Martinique,Prescripteur institutionnel,https://www.martinique.cci.fr/,cci-martinique,"Même logique : relais dirigeants + organisation événements",Atelier + présence au salon Pro'Actif,Vérifié
Institution CCI,CCI des Îles de Guadeloupe,Guadeloupe,Prescripteur institutionnel,https://www.guadeloupe.cci.fr/,cci-de-region-iles-de-guadeloupe,"Relais dirigeants + événements + annuaire",Atelier + événements CCI,Vérifié
Écosystème Tech,French Tech Antilles-Guyane,Antilles-Guyane,Réseau innovation,https://frenchtech-antillesguyane.com/,french-tech-antilles-guyane,"Startups et PME tech locales, très actif sur LinkedIn",Demander à intervenir sur 'Structurer une PME quand on a 0 CTO',Vérifié
Écosystème Tech,Guyane Développement Innovation (GDI),Guyane,Incubateur,https://www.gdi.gf/,guyane-developpement-innovation,"Incubateur régional — startups early stage cherchant infrastructure",Partenariat technique : prestation à prix préférentiel pour incubés,Vérifié
Écosystème Tech,La Kourse,Guadeloupe,Incubateur,https://lakourse.fr/,la-kourse,Incubateur + accélérateur Guadeloupe,Partenariat incubés,À confirmer
Financement,BPI France Outre-mer,Antilles-Guyane,Prescripteur financier,https://www.bpifrance.fr/nos-implantations/outre-mer,bpifrance,"Finance les PME en croissance — prescripteur solide quand digitalisation figure au plan",Contact chargé d'affaires territorial → positionner TUS comme partenaire agréé sur volets digitalisation,Vérifié
Financement,Région Guyane - Service Économie,Guyane,Financement public,https://www.ctguyane.fr/,collectivite-territoriale-de-guyane,Chèque numérique / aides digitalisation PME,Se faire référencer prestataire agréé aides régionales,Vérifié (CTG existe)
Financement,CTM - Service Économie,Martinique,Financement public,https://www.collectivitedemartinique.mq/,collectivite-territoriale-de-martinique,Aides digitalisation PME,Référencement prestataire,Vérifié
Syndicat patronal,MEDEF Guyane,Guyane,Prescripteur patronal,https://www.medef-guyane.com/,medef-guyane,"Accès ETI + PME structurées, réseau soirées dirigeants",Intervention conférence + adhésion,À confirmer présence LinkedIn
Syndicat patronal,MEDEF Martinique,Martinique,Prescripteur patronal,,medef-martinique,Même logique,Conférence + adhésion,À confirmer
Syndicat patronal,CPME Guyane,Guyane,Prescripteur patronal,https://www.cpme-guyane.fr/,cpme-guyane,"Focus TPE/PME — exactement ton cœur de cible",Intervention + adhésion (cotisation modeste),Vérifié
Syndicat patronal,CPME Martinique,Martinique,Prescripteur patronal,,cpme-martinique,Même logique,Intervention + adhésion,À confirmer
Syndicat patronal,CPME Guadeloupe,Guadeloupe,Prescripteur patronal,,cpme-guadeloupe,Même logique,Intervention + adhésion,À confirmer
Ordre professionnel,Ordre des Experts-Comptables Guyane,Guyane,Prescripteur critique,https://www.experts-comptables.fr/,,"Les EC voient tous leurs clients PME se plaindre des outils — levier #1 prescription",Mailing ciblé → propose 10% commission sur projets > 5k€ apportés,Vérifié (conseil régional existe)
Ordre professionnel,Ordre des Experts-Comptables Antilles-Guyane,Antilles,Prescripteur critique,https://www.experts-comptables-antilles-guyane.fr/,,Prescripteur multi-territoire,Idem,À vérifier URL exacte
Ordre professionnel,Ordre des Avocats Guyane,Guyane,Prescripteur secondaire,,,Avocats d'affaires voient les dossiers de cession/restructuration,Webinaire commun 'Sécuriser ses données avant audit',Méthode : trouver sur Annuaire Ordre National
Presse B2B,Guyaweb,Guyane,Média local,https://www.guyaweb.com/,,"Média business influent en Guyane — tribunes d'expertise possibles","Pitch tribune : 'Le vrai coût SaaS pour une PME ultramarine'",Vérifié
Presse B2B,France-Antilles,Antilles,Média local,https://www.martinique.franceantilles.fr/,france-antilles,Presse quotidienne locale,Tribune ou interview sur digitalisation PME,Vérifié
Presse B2B,Outremers360,Antilles-Guyane,Média business,https://outremers360.com/,outremers360,Média business outre-mer,Tribune,Vérifié
Réseau dirigeants,BNI Guyane,Guyane,Club business,https://bnifrance.fr/,bni-france,"Déjeuners d'affaires — 1 seul prestataire par catégorie (exclusivité) — ROI élevé si chapter actif",Visiter une réunion en tant qu'invité,"Vérifier chapters actifs sur bnifrance.fr"
Réseau dirigeants,BNI Martinique,Martinique,Club business,https://bnifrance.fr/,bni-france,Idem,Visite invité,Vérifier chapters
Réseau dirigeants,Rotary Club Cayenne,Guyane,Club service,,,"Dirigeants installés, sensibles à l'ancrage local",Conférence sur un thème sociétal (pas commercial),Présence à vérifier
Réseau dirigeants,Jeune Chambre Économique (JCE) Guyane,Guyane,Réseau jeunes dirigeants,,,"Jeunes dirigeants = early adopters outils, budget plus flexible",Membre actif + intervention,À vérifier via JCE France
Secteur cible,Fédération BTP Guyane,Guyane,Fédération sectorielle,,,"BTP = ERP/devis/suivi chantier souvent en Excel",Démo cas client (même fictif anonymisé) sur gestion devis multi-chantiers,Vérifier sur Fédération Française du Bâtiment
Secteur cible,Syndicat Hôtellerie Restauration Antilles,Antilles,Fédération sectorielle,,,"HR = besoin urgent CRM réservation + pilotage",Démo verticalisée,Vérifier UMIH locale
Secteur cible,Chambre des Métiers Guyane,Guyane,Artisans,https://www.cma-guyane.fr/,,"Artisans TPE — gros volume, petit ticket : produit d'appel",Pack 'Site vitrine + devis' à prix d'appel,Vérifié
Secteur cible,Chambre d'Agriculture Guyane,Guyane,Agricole,https://www.guyane.chambre-agriculture.fr/,,"Agri en pleine structuration (PAC, traçabilité)",Outil de suivi production/traçabilité,Vérifié
Événement,Salon Pro'Actif Martinique,Martinique,Salon pro,,,Salon B2B majeur Martinique,Stand + conférence,Vérifier édition en cours
